,indice,Id_producto,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
543,543,4dfbf9ad-f672-4c76-adae-e3358cb515e9,Vilucy Shirt noos ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND55,MAINSTREAM,9,blue_klein,0000FF,blouse,2,warm_season,smooth,classic,straight,work,2
544,544,b50bf138-96fa-4a9b-b093-1f39d72fd644,Real Jacket print ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND60,WHOLE_SALE,9,green_dark,164A0A,,3,warm_season,retro,street,loose,freetime,3
545,545,b092f652-bde5-4299-b1ca-d282e2dff6d8,Yula Top akoz ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND73,WHOLE_SALE,9,white,FFFFFF,tops,2,warm_season,smooth,classic,straight,night,2
546,546,2613eddd-331c-4d88-9fb3-35f57473a463,Mushroom Skirt midi ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND134,MAINSTREAM,9,black,000000,,3,warm_season,smooth,classic,straight,work,1
547,547,b092f652-bde5-4299-b1ca-d282e2dff6d8,Yula Top akoz ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND73,WHOLE_SALE,9,green_dark,164A0A,tops,2,warm_season,smooth,classic,straight,night,2
548,548,4aa3043e-354c-46db-828b-fdc254eaaf4b,Heather Jacket bomber ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND15,WHOLE_SALE,9,blue_dark,00008b,,2,warm_season,smooth,street,loose,freetime,3
549,549,f159557b-d75e-4ebb-b00e-34677fe6e24b,Gladis Shirt solid ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND15,WHOLE_SALE,9,white,FFFFFF,blouse,2,warm_season,smooth,boho,loose,freetime,2
550,550,18a472b6-f3a7-4915-9d54-6a2137b3d818,Side Jeans denim ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND165,WHOLE_SALE,9,ecru,ECE9D6,,3,warm_season,smooth,classic,tight,freetime,1
551,551,50a165f9-0bfc-49ea-a48b-09ff0e072827,Vibibi Pant rwsl ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND55,MAINSTREAM,9,blue_light,87CEFA,,2,warm_season,vertical_stripes,casual,straight,freetime,1
552,552,cb97b1da-167e-4f04-83a0-5aea83177eb7,Alexa Jeans milan ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND174,PREMIUM,9,gray_light,D3D3D3,,2,warm_season,smooth,street,tight,work,1
553,553,0235bddf-aec1-4d1d-98b6-302be490e652,Objludmilla Shorts print ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND101,NO_MAINSTREAM,9,blue_klein,0000FF,,3,warm,ethnic,boho,loose,freetime,1
554,554,6638b715-60c1-4c28-a27c-be879663b459,Pcangilica Top print ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND142,MAINSTREAM,9,brick,8e1d03,tops,2,warm,floral,boho,loose,work,2
555,555,3b130bca-89b7-4e7b-9e6e-8d3b2503115e,Waves Top cerise,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND15,WHOLE_SALE,9,green_light,BBE2AD,tops,2,warm,smooth,boho,straight,work,2
556,556,1612cad7-b3ff-4c18-91d5-237795578050,Tilda Top majolica,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND91,WHOLE_SALE,9,black,000000,tops,2,warm,smooth,classic,straight,freetime,2
557,557,598ce1bc-5c0c-4bff-b195-2705aef7f5c7,Maf Sweater V ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND89,MAINSTREAM,9,blue_dark,00008b,cardigan,1,warm_season,smooth,classic,straight,freetime,2
558,558,2ba971cc-b600-4166-be88-389df9123388,Shquesir Sweater vneck ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND163,NO_MAINSTREAM,9,ecru,ECE9D6,tops,2,warm_season,smooth,boho,straight,work,2
559,559,2e7c9226-4f4d-4fdb-a91d-d60e4064bfc9,Bendine Jumpsuit giraffe ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND90,MAINSTREAM,9,black,000000,,3,warm,animal_print,street,straight,freetime,1
